	Plate3-C3	Plate4-G2	Plate3-D4	Plate3-B4	Plate3-D7	Plate3-C4	Plate3-H7	Plate4-E1	Plate3-E1	Plate3-F4	Plate3-G7	Plate3-F7	Plate3-E4	Plate3-H4	Plate4-D1	Plate3-D10	Plate3-E7	Plate4-G1	Plate4-F1	Plate3-G10	Plate3-F10	Plate3-E10	Plate3-G4	Plate3-A5	Plate3-C7	Plate3-B10	Plate3-E5	Plate4-B1	Plate3-E3	Plate3-B5	Plate3-G11	Plate3-H3	Plate4-H1	Plate3-H5	Plate4-D2	Plate3-D11	Plate3-G5	Plate3-E8	Plate4-F2	Plate3-H12	Plate3-G3	Plate3-H2	Plate3-D8	Plate3-B8	Plate3-C11	Plate3-B7	Plate3-D3	Plate4-E2	Plate3-C5	Plate4-B2	Plate4-C1	Plate3-H8	Plate4-C2	Plate3-E11	Plate3-F11	Plate3-F1	Plate3-D5	Plate3-F5	Plate3-G2	Plate3-H10	Plate3-C2	Plate3-D2	Plate3-E2	Plate3-C10	Plate3-C1	Plate3-F2	Plate3-F3	Plate3-A8	Plate3-D1	Plate3-H9	Plate3-A11	Plate3-B11	Plate3-C8	Plate3-B3	Plate3-A10	Plate3-B2
Plate3-H5	0.300294695431	0.252040126904	0.452021167513	0.353757436548	0.372472944162	0.505501497462	0.706065025381	0.767509974619	0.599364010152	0.813691878173	0.751191878173	0.709885939086	0.679642360406	0.74830177665	0.757739898477	0.752273096447	0.699107335025	0.764435203046	0.758566548223	0.75412286802	0.750710939086	0.763727233503	0.719521522843	0.196276979695	0.341490939086	0.281884441624	0.208393375635	0.259317182741	0.266497791878	0.173476472081	0.278720964467	0.265053248731	0.383490685279	0.0	0.31595071066	0.27034571066	0.24951857868	0.278259416244	0.270142664975	0.250891827411	0.309372182741	0.34936642132	0.268023527919	0.247121751269	0.28747857868	0.274405736041	0.286736725888	0.35788751269	0.177295507614	0.340555279188	0.318048604061	0.39793142132	0.295462741117	0.333592360406	0.287133832487	0.279008502538	0.174761243655	0.179585152284	0.283216192893	0.28879677665	0.320993045685	0.30659284264	0.277377817259	0.266055253807	0.240679441624	0.268057766497	0.295541319797	0.208517715736	0.280771015228	0.239248096447	0.298748274112	0.302742284264	0.211103375635	0.299098908629	0.224297563452	0.277430939086
Plate4-D2	0.394954746193	0.140368502538	0.427840558376	0.389440329949	0.370739137056	0.481815253807	0.697672233503	0.571472055838	0.575096446701	0.783978426396	0.748368071066	0.707797664975	0.672854796954	0.744460862944	0.599310203046	0.614169796954	0.691725812183	0.574499365482	0.569347664975	0.638964593909	0.642942614213	0.583461142132	0.716927614213	0.327124137056	0.34955784264	0.306288908629	0.295107538071	0.373992005076	0.371553324873	0.336131852792	0.207348071066	0.377700812183	0.200772106599	0.31595071066	0.0	0.212916675127	0.322996395939	0.299582055838	0.173962106599	0.35129035533	0.378133147208	0.447371903553	0.329815406091	0.323052969543	0.191529238579	0.293973248731	0.384726624365	0.160058680203	0.30104748731	0.184242182741	0.35149215736	0.399924517766	0.173230913706	0.238617030457	0.141242005076	0.387871751269	0.269124695431	0.296897233503	0.338314213198	0.191301395939	0.434894568528	0.398209187817	0.377496852792	0.298052055838	0.334268426396	0.379766649746	0.398627005076	0.27550822335	0.409633604061	0.278079111675	0.234425532995	0.231637005076	0.300167284264	0.394025304569	0.298183604061	0.385489010152
Plate3-D11	0.381576040609	0.203841827411	0.405464949239	0.307179847716	0.326810279188	0.436526700508	0.677880025381	0.641953807107	0.571003680203	0.773498096447	0.721054796954	0.677938807107	0.65313928934	0.718888705584	0.625494898477	0.625318705584	0.669686192893	0.630326497462	0.635558045685	0.622484467005	0.623668375635	0.631086345178	0.688931852792	0.301765634518	0.320034568528	0.335500761421	0.25777928934	0.378071878173	0.349905025381	0.295955329949	0.175267791878	0.331996015228	0.24012319797	0.27034571066	0.212916675127	0.0	0.244474137056	0.251720558376	0.248929593909	0.317389771574	0.349872309645	0.410937005076	0.268718274112	0.255593857868	0.173090583756	0.309919213198	0.36335	0.204097385787	0.268592791878	0.185877335025	0.334821269036	0.371227385787	0.199670939086	0.169339441624	0.198590812183	0.359434771574	0.258112741117	0.273109137056	0.307552360406	0.17369893401	0.410977944162	0.361438705584	0.33866606599	0.291122284264	0.319530126904	0.347645304569	0.380155456853	0.229374847716	0.381736827411	0.268325532995	0.166819822335	0.165807436548	0.211279949239	0.378515076142	0.301696979695	0.358904974619
Plate3-G5	0.379877030457	0.315870989848	0.374968274112	0.340806928934	0.327014111675	0.423300685279	0.654976243655	0.737990025381	0.561036751269	0.755772944162	0.685823705584	0.659004314721	0.63107286802	0.692849086294	0.717990152284	0.705803553299	0.650045913706	0.729462258883	0.728053807107	0.705889923858	0.693970228426	0.732074746193	0.65571284264	0.219424492386	0.290153832487	0.299768350254	0.180699873096	0.374126472081	0.354541395939	0.199255456853	0.322708781726	0.32501715736	0.406495964467	0.24951857868	0.322996395939	0.244474137056	0.0	0.158767944162	0.378277182741	0.247539441624	0.343000862944	0.395058756345	0.198450126904	0.182919974619	0.325974416244	0.259538527919	0.36486357868	0.328098883249	0.191031091371	0.313956497462	0.26630393401	0.371708375635	0.337930659898	0.305486269036	0.313723629442	0.354419263959	0.196916319797	0.195715659898	0.316532284264	0.302434035533	0.422543350254	0.370245076142	0.345645482234	0.241069517766	0.295677817259	0.350836192893	0.385623857868	0.17372142132	0.381237918782	0.226846624365	0.291050406091	0.319772944162	0.158124695431	0.38017428934	0.259961878173	0.354076522843
Plate3-E8	0.385080406091	0.29680715736	0.367363832487	0.329084416244	0.317287385787	0.381969898477	0.656337335025	0.729371319797	0.555778451777	0.747706675127	0.681444187817	0.650643680203	0.631243299492	0.683489365482	0.710735761421	0.699308553299	0.650371928934	0.720933908629	0.717948807107	0.701678020305	0.690814263959	0.723762081218	0.656744847716	0.259404162437	0.287331319797	0.282299492386	0.222309593909	0.375787969543	0.360158629442	0.256371573604	0.312799162437	0.347682664975	0.38356786802	0.278259416244	0.299582055838	0.251720558376	0.158767944162	0.0	0.352790761421	0.278441649746	0.341218147208	0.403159035533	0.210630558376	0.222863299492	0.310172461929	0.265503984772	0.374995279188	0.310277182741	0.240607055838	0.291648502538	0.280497411168	0.365798147208	0.309852258883	0.321669187817	0.296987969543	0.356957563452	0.231772994924	0.232618730964	0.314395	0.288832436548	0.420765609137	0.36857215736	0.353603477157	0.255856345178	0.298350228426	0.352210888325	0.391834187817	0.193195862944	0.383129111675	0.245064263959	0.310944746193	0.314871243655	0.205263705584	0.385974771574	0.269261192893	0.362818984772
Plate4-F2	0.371926243655	0.148553299492	0.478253071066	0.408610253807	0.402944187817	0.532846751269	0.767764238579	0.615188832487	0.648666472081	0.857954593909	0.818910228426	0.776522563452	0.739861167513	0.818100736041	0.669558705584	0.684938350254	0.760173248731	0.630586548223	0.622381548223	0.707209543147	0.715286294416	0.652014771574	0.786708248731	0.332181878173	0.392289137056	0.331159340102	0.336680659898	0.317541472081	0.352777309645	0.333521827411	0.212579314721	0.375419111675	0.19569680203	0.270142664975	0.173962106599	0.248929593909	0.378277182741	0.352790761421	0.0	0.322226269036	0.381150939086	0.436559137056	0.401263807107	0.396411827411	0.195570685279	0.336215152284	0.369069340102	0.204355456853	0.316316598985	0.226707335025	0.398403756345	0.465438654822	0.18105642132	0.248644923858	0.154692944162	0.369323553299	0.340384619289	0.326732741117	0.364379162437	0.182484822335	0.421782614213	0.39195464467	0.369189619289	0.352232994924	0.324100685279	0.368792411168	0.373725406091	0.339390989848	0.375559974619	0.313204873096	0.267700177665	0.263238401015	0.341058477157	0.380088527919	0.306277690355	0.360810964467
Plate3-H12	0.343078147208	0.307648502538	0.38550248731	0.324608299492	0.31045	0.456573121827	0.692037258883	0.766182258883	0.592010406091	0.795672284264	0.725928324873	0.697750913706	0.668688045685	0.726717005076	0.750046294416	0.736419898477	0.684740482234	0.759860126904	0.756638832487	0.739191700508	0.72765180203	0.764359974619	0.693269847716	0.270210634518	0.302730177665	0.256561142132	0.258728350254	0.250567436548	0.323609568528	0.260603172589	0.349407563452	0.337213553299	0.415941751269	0.250891827411	0.35129035533	0.317389771574	0.247539441624	0.278441649746	0.322226269036	0.0	0.35649142132	0.407099416244	0.342759416244	0.319757588832	0.361269695431	0.239098477157	0.342765558376	0.409804162437	0.251454035533	0.368375380711	0.265423121827	0.409925431472	0.342516903553	0.405905507614	0.355442817259	0.344448807107	0.277005304569	0.258297436548	0.336448071066	0.331672360406	0.408998984772	0.369149847716	0.332607715736	0.228840634518	0.291079949239	0.333378274112	0.350301928934	0.276243096447	0.349989390863	0.199727284264	0.387416751269	0.399528071066	0.253831852792	0.354887944162	0.205124010152	0.341459771574
Plate3-G3	0.260955406091	0.371517385787	0.486673959391	0.399962664975	0.403462081218	0.471756269036	0.704916700508	0.761878908629	0.574498680203	0.764536954315	0.721744060914	0.692014467005	0.680999974619	0.71835893401	0.757550507614	0.749446294416	0.699249923858	0.76549322335	0.756778172589	0.754621903553	0.741557385787	0.761166116751	0.703008984772	0.352085507614	0.390211548223	0.37001819797	0.330637030457	0.319801192893	0.248767639594	0.369615456853	0.359495076142	0.185261218274	0.385563172589	0.309372182741	0.378133147208	0.349872309645	0.343000862944	0.341218147208	0.381150939086	0.35649142132	0.0	0.192960279188	0.321013121827	0.329956928934	0.315566040609	0.354401370558	0.229444847716	0.38792319797	0.345959314721	0.344828426396	0.410463274112	0.435599086294	0.309997360406	0.367309213198	0.351667182741	0.212024593909	0.318182208122	0.347159517766	0.215056040609	0.35181357868	0.252923553299	0.19861786802	0.205206091371	0.33716819797	0.152843451777	0.200189187817	0.232513045685	0.283594010152	0.238791573604	0.309822208122	0.389292639594	0.341599492386	0.290516370558	0.226032005076	0.341921370558	0.240930786802
Plate3-H2	0.187413350254	0.437846497462	0.533976928934	0.440558121827	0.454744238579	0.51908248731	0.742553730964	0.799794873096	0.611971598985	0.812761294416	0.77422642132	0.739185406091	0.71864964467	0.769553426396	0.795434340102	0.790598705584	0.736886954315	0.804700761421	0.796612005076	0.792292030457	0.781673045685	0.800494619289	0.742458350254	0.395944010152	0.426223502538	0.408254568528	0.388303096447	0.351109086294	0.24401822335	0.411066243655	0.417232258883	0.173705	0.437004822335	0.34936642132	0.447371903553	0.410937005076	0.395058756345	0.403159035533	0.436559137056	0.407099416244	0.192960279188	0.0	0.382450253807	0.375522538071	0.374028401015	0.395505913706	0.179632081218	0.433942461929	0.394114365482	0.395512918782	0.457215076142	0.479258299492	0.373482563452	0.412986192893	0.417192335025	0.185221370558	0.365556091371	0.392089543147	0.274375862944	0.411408527919	0.184050532995	0.203857588832	0.179584390863	0.371848781726	0.215285	0.252483781726	0.190056472081	0.330101497462	0.191870126904	0.341363248731	0.442740685279	0.38777464467	0.343283553299	0.178200862944	0.370078604061	0.169606497462
Plate3-D8	0.401976548223	0.338163299492	0.367582614213	0.317639187817	0.350046319797	0.407925888325	0.610672461929	0.682536091371	0.525892461929	0.706213071066	0.624686675127	0.592394543147	0.584653299492	0.621702766497	0.662298857868	0.657972106599	0.605293248731	0.671752081218	0.671488756345	0.659996395939	0.649217461929	0.674699390863	0.611686675127	0.276261370558	0.274778274112	0.310245989848	0.242309340102	0.412444822335	0.367924365482	0.257634416244	0.335805	0.315802258883	0.391402385787	0.268023527919	0.329815406091	0.268718274112	0.198450126904	0.210630558376	0.401263807107	0.342759416244	0.321013121827	0.382450253807	0.0	0.11938142132	0.320500583756	0.292457284264	0.378362944162	0.302322005076	0.26036715736	0.286583121827	0.300993857868	0.299808350254	0.339291852792	0.321556294416	0.33747928934	0.359819796954	0.216200812183	0.247806446701	0.299580431472	0.327259137056	0.418067182741	0.350303324873	0.341134137056	0.27417248731	0.290458147208	0.352525304569	0.396084086294	0.148973071066	0.384986218274	0.267025837563	0.30370606599	0.303496675127	0.212652030457	0.394662639594	0.302243527919	0.367791319797
Plate3-B8	0.392478629442	0.334216903553	0.353464086294	0.32127964467	0.341192411168	0.425139796954	0.604233527919	0.679547664975	0.520100786802	0.719733883249	0.639026218274	0.602516116751	0.578659543147	0.638620076142	0.659323629442	0.652612411168	0.598977766497	0.669090152284	0.668174543147	0.654418680203	0.642854822335	0.672215482234	0.609370532995	0.253892436548	0.261077664975	0.303907258883	0.217666751269	0.399351928934	0.356971928934	0.225394619289	0.33136677665	0.314769162437	0.394069137056	0.247121751269	0.323052969543	0.255593857868	0.182919974619	0.222863299492	0.396411827411	0.319757588832	0.329956928934	0.375522538071	0.11938142132	0.0	0.316683883249	0.280645507614	0.366324720812	0.309307436548	0.228496954315	0.281361091371	0.288074467005	0.294604796954	0.332746928934	0.321438274112	0.343483045685	0.342425736041	0.183569441624	0.215323654822	0.308777436548	0.32225680203	0.405470228426	0.355440685279	0.330159771574	0.26151680203	0.298534238579	0.33685393401	0.388761345178	0.143501395939	0.375476573604	0.250381624365	0.29469357868	0.301110989848	0.178627411168	0.385296345178	0.293203832487	0.360336294416
Plate3-C11	0.339353883249	0.159944035533	0.466321319797	0.379050076142	0.384395177665	0.504035507614	0.726773908629	0.634360025381	0.617080558376	0.823183756345	0.774196649746	0.732844568528	0.700362664975	0.771513807107	0.626862690355	0.643954720812	0.721518147208	0.627331040609	0.627082994924	0.667930939086	0.668857233503	0.622038654822	0.741896243655	0.336956218274	0.379418857868	0.366192208122	0.317278959391	0.339360228426	0.311588908629	0.343505101523	0.147764517766	0.302401319797	0.211534390863	0.28747857868	0.191529238579	0.173090583756	0.325974416244	0.310172461929	0.195570685279	0.361269695431	0.315566040609	0.374028401015	0.320500583756	0.316683883249	0.0	0.354534010152	0.332699365482	0.202991015228	0.30320677665	0.193741370558	0.389970228426	0.43166248731	0.14937	0.170530786802	0.141069010152	0.313930228426	0.297576319797	0.310176624365	0.312266751269	0.12627642132	0.369422588832	0.329071218274	0.303232284264	0.33330464467	0.279542081218	0.307980812183	0.339764263959	0.277659898477	0.33995857868	0.317849263959	0.179426852792	0.163551878173	0.273275812183	0.341383730964	0.33422964467	0.324478299492
Plate3-B7	0.352217893401	0.315672817259	0.262853299492	0.237897893401	0.213613756345	0.336188908629	0.570650964467	0.626213071066	0.456356497462	0.661482994924	0.618388832487	0.579828883249	0.54626464467	0.619380659898	0.627923908629	0.615924314721	0.562472817259	0.633177944162	0.62429822335	0.619814187817	0.621614695431	0.630331243655	0.586782030457	0.274337690355	0.12582642132	0.118073020305	0.24744286802	0.246634695431	0.323357538071	0.26063357868	0.322854162437	0.318003451777	0.388713730964	0.274405736041	0.293973248731	0.309919213198	0.259538527919	0.265503984772	0.336215152284	0.239098477157	0.354401370558	0.395505913706	0.292457284264	0.280645507614	0.354534010152	0.0	0.330713375635	0.353005126904	0.254621142132	0.342883959391	0.224013172589	0.283693756345	0.324572639594	0.382561649746	0.341330076142	0.325747791878	0.227248350254	0.249664847716	0.303195532995	0.340399619289	0.402220558376	0.357272436548	0.335881878173	0.157258045685	0.298764619289	0.329685685279	0.368860761421	0.233066700508	0.365851116751	0.137260939086	0.36056751269	0.370930456853	0.26736677665	0.35030357868	0.166450203046	0.331818857868
